source_file,section,instance,family,family_group,P,radiusCoeff,alpha,beta,feasible,metric,value
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.5,0.2,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.5,0.2,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.7,2.0,0.5,0.2,True,total_distance,229.2899618089964
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.3,2.0,0.9,0.6,True,computation_time,1.14
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.3,2.0,0.9,0.6,True,n_coarsened,2.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.3,2.0,0.9,0.6,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.3,2.0,0.9,0.6,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.3,2.0,0.9,0.6,True,total_distance,171.99824013889548
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.8,5.0,0.3,0.6,False,computation_time,4.57
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.8,5.0,0.3,0.6,False,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.8,5.0,0.3,0.6,False,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.8,5.0,0.3,0.6,False,time_window_violations,2.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.8,5.0,0.3,0.6,False,total_distance,220.50697532075552
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.5,5.0,0.9,0.8,True,computation_time,2.01
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.5,5.0,0.9,0.8,True,n_coarsened,4.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.5,5.0,0.9,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.5,5.0,0.9,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC102,RC,RC1,0.5,5.0,0.9,0.8,True,total_distance,171.03599546917604
